"filename", "language", "JSON", "JavaScript", "TypeScript", "Markdown", "comment", "blank", "total"
"c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\dist\hina\HinaClient.js", "JavaScript", 0, 43, 0, 0, 1, 0, 44
"c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\dist\hina\Tamagotchis.js", "JavaScript", 0, 0, 0, 0, 1, 0, 1
"c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\dist\index.js", "JavaScript", 0, 44, 0, 0, 1, 0, 45
"c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\dist\language\de_de.json", "JSON", 40, 0, 0, 0, 0, 0, 40
"c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\dist\language\en_us.json", "JSON", 41, 0, 0, 0, 0, 0, 41
"c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\dist\utils\database.js", "JavaScript", 0, 11, 0, 0, 1, 0, 12
"c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\dist\utils\string.js", "JavaScript", 0, 29, 0, 0, 1, 0, 30
"c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\package.json", "JSON", 21, 0, 0, 0, 0, 1, 22
"c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\bot.ts", "TypeScript", 0, 0, 12, 0, 0, 7, 19
"c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\commands\administration\addrole.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 17
"c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\commands\administration\removerole.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 17
"c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\commands\configuration\config.ts", "TypeScript", 0, 0, 136, 0, 0, 8, 144
"c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\commands\configuration\language.ts", "TypeScript", 0, 0, 37, 0, 0, 0, 37
"c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\commands\core\botinfo.ts", "TypeScript", 0, 0, 19, 0, 0, 1, 20
"c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\commands\core\help.ts", "TypeScript", 0, 0, 38, 0, 3, 0, 41
"c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\commands\developer\devinfos.ts", "TypeScript", 0, 0, 24, 0, 0, 1, 25
"c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\commands\developer\restart.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 23
"c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\commands\developer\update.ts", "TypeScript", 0, 0, 39, 0, 0, 0, 39
"c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\commands\economy\coins.ts", "TypeScript", 0, 0, 29, 0, 0, 1, 30
"c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\commands\economy\daily.ts", "TypeScript", 0, 0, 46, 0, 0, 5, 51
"c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\commands\economy\leaderboard.ts", "TypeScript", 0, 0, 23, 0, 0, 1, 24
"c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\commands\economy\weekly.ts", "TypeScript", 0, 0, 46, 0, 0, 5, 51
"c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\commands\fun\cat.ts", "TypeScript", 0, 0, 13, 0, 0, 1, 14
"c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\commands\fun\dog.ts", "TypeScript", 0, 0, 13, 0, 0, 2, 15
"c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\commands\fun\fox.ts", "TypeScript", 0, 0, 13, 0, 0, 1, 14
"c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\commands\interaction\hug.ts", "TypeScript", 0, 0, 13, 0, 0, 1, 14
"c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\commands\interaction\kiss.ts", "TypeScript", 0, 0, 13, 0, 0, 1, 14
"c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\commands\interaction\poke.ts", "TypeScript", 0, 0, 13, 0, 0, 1, 14
"c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\commands\interaction\slap.ts", "TypeScript", 0, 0, 13, 0, 0, 1, 14
"c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\commands\moderation\ban.ts", "TypeScript", 0, 0, 55, 0, 0, 1, 56
"c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\commands\moderation\kick.ts", "TypeScript", 0, 0, 55, 0, 0, 1, 56
"c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\commands\profile\profile.ts", "TypeScript", 0, 0, 37, 0, 0, 0, 37
"c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\commands\profile\updateprofile.ts", "TypeScript", 0, 0, 14, 0, 0, 1, 15
"c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\commands\tamagotchi\buy.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 1
"c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\commands\tamagotchi\inventory.ts", "TypeScript", 0, 0, 0, 0, 0, 1, 1
"c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\commands\tamagotchi\shop.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 9
"c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\commands\tamagotchi\tamagotchi.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 14
"c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\commands\utilties\guildinfo.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 26
"c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\commands\utilties\userinfo.ts", "TypeScript", 0, 0, 27, 0, 0, 2, 29
"c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\events\guildMemberAdd.ts", "TypeScript", 0, 0, 29, 0, 0, 0, 29
"c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\events\guildMemberRemove.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 23
"c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\events\message.ts", "TypeScript", 0, 0, 17, 0, 0, 5, 22
"c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\events\ready.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 13
"c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\events\shardDisconnect.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 10
"c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\events\shardReady.ts", "TypeScript", 0, 0, 3, 0, 7, 0, 10
"c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\events\shardReconnecting.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 10
"c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\events\shardResume.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 10
"c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\hina\HinaClient.ts", "TypeScript", 0, 0, 35, 0, 0, 4, 39
"c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\index.ts", "TypeScript", 0, 0, 43, 0, 0, 6, 49
"c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\utils\database.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 9
"c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\src\utils\string.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 18
"c:\Users\SvenM\OneDrive\Dokumente\GitHub\Hina\tsconfig.json", "JSON", 20, 0, 0, 0, 0, 1, 21
"Total", "-", 132, 1535, 1054, 1, 54, 61, 2837
